Messages,Start Date,District,Communication Channel,The message contains
afraid of c-19 vaccine side effect,2/26/2022,Western Urban,Market/Shops/Street,concerns
"there are several covid-19 vaccines refusals at schools and according to the teachers they said, they have not received an official memo from ministry of basic and senior secondary education with regards the district health management team (dhmt) ministry of health and sanitation (mohs).",3/3/2022,Port Loko,Social mobilization Activities,concerns
refusal for covid-19 vaccination in some communities in the district during this surge-5 campaign.,3/4/2022,Bonthe,Word of mouth,information
people are not taking the second dose covid-19 vaccine,3/4/2022,Bonthe,Social mobilization Activities,concerns
covid-19 vaccines are made to remote control those vaccinated,3/4/2022,Port Loko,Word of mouth,misinformation
covid-19 vaccines are made to remote control those vaccinated,3/4/2022,Port Loko,Word of mouth,misinformation
residents of the community should not take  covid-19 vaccines because they are not safe,3/9/2022,Port Loko,Social mobilization Activities,misinformation
"vaccines are not safe for school going children and therefore a letter dated 24th february, 2022 from the mohs to mbsse is not enough to let children be vaccinated education authorities should send letters from mbsse to all schools to show vaccines are safe.",3/24/2022,Port Loko,Market/Shops/Street,concerns
vaccine kills young people,4/21/2022,Karene,Word of mouth WhatsApp,rumors
covid-19 vaccine cures,4/21/2022,Port Loko,Word of mouth Television Radio WhatsApp,rumors
covid-19 vaccine can kill,4/21/2022,Western Urban,Word of mouth,misinformation
covid-19 is real,4/21/2022,Port Loko,Television Radio Online newspapers,information
covid 19 kills faster,4/21/2022,Port Loko,Word of mouth,rumors
covid-19 vaccine can cause headache,4/21/2022,Port Loko,Word of mouth,information
covid-19 vaccine causes headache,4/21/2022,Port Loko,Word of mouth,information
covid-19 vaccine kills,4/21/2022,Port Loko,Market/Shops/Street,rumors
c-19 vaccine causes side effects,4/21/2022,Western Rural,Social mobilization Activities,information
c-19 vaccine causes  effects,4/21/2022,Western Rural,Social mobilization Activities,information
c-19 vaccine causes side effect,4/21/2022,Western Rural,Public event,information
c-19 vaccine is expired,4/21/2022,Western Rural,Public event,rumors
high rate of c-19 vaccinated people,4/21/2022,Karene,WhatsApp,rumors
c-19 vaccine cause death,4/21/2022,Karene,Political events,rumors
cluster of small ruminants death in kakuru village,4/21/2022,Karene,Social mobilization Activities,information
vaccine cause death,4/21/2022,Kambia,WhatsApp Market/Shops/Street,rumors
the vaccines causes death,4/21/2022,Kambia,WhatsApp Other Social Media,rumors
c-19 vaccine causes weakness,4/21/2022,Kambia,Word of mouth,information
the c-19 vaccine causes weakness,4/21/2022,Kambia,Market/Shops/Street Word of mouth,concerns
covid-19 vaccine causes severe illness,4/21/2022,Kambia,Public event,rumors
covid-19 vaccine causes illness,4/21/2022,Kambia,WhatsApp Facebook Word of mouth Market/Shops/Street,rumors
covid-19 vaccine causes illness,4/21/2022,Kambia,Public event,rumors
polio is caused by witchcraft,4/21/2022,Kambia,Radio,misinformation
polio is a witchcraft disease,4/21/2022,Kambia,Radio,misinformation
c-19 vaccine kills,4/21/2022,Western Rural,Word of mouth WhatsApp Facebook,rumors
c-19 vaccine kills,4/21/2022,Western Rural,WhatsApp Word of mouth,rumors
vaccines are not safe,4/21/2022,Port Loko,Religious event Word of mouth,misinformation
vaccines made girls barren,4/21/2022,Port Loko,Word of mouth Religious event,misinformation
vaccine can kill,4/21/2022,Karene,WhatsApp,rumors
covid-19 vaccine kill,4/21/2022,Karene,Word of mouth,rumors
covid-19 vaccine kills,4/21/2022,Karene,WhatsApp,rumors
xz phu sells free health drugs,4/22/2022,Western Rural,Word of mouth,rumors
covid-19 marklate gives common cold.,4/23/2022,Karene,Word of mouth,information
covid-19 is false,4/24/2022,Western Rural,Market/Shops/Street Word of mouth,misinformation
covid-19 vaccines causes early death,4/24/2022,Western Rural,Word of mouth,rumors
ebola vaccine kills.,4/26/2022,Karene,Word of mouth,rumors
covid 19 is no longer in sierra leone,4/28/2022,Kambia,Word of mouth,rumors
polio vaccine is harmful to children,4/22/2022,Western Urban,Market/Shops/Street,rumors
covid-19 vaccine can cause headache,4/22/2022,Western Urban,Word of mouth,information
taking covid-19 vaccines in the day invalidate their fast,5/2/2022,Port Loko,Religious event Word of mouth,misinformation
many muslims were afraid of taking vaccines thinking it make it to invalid,5/2/2022,Port Loko,Word of mouth Religious event,misinformation
ebola vaccine kills.,5/3/2022,Karene,Word of mouth,rumors
covid-19 vaccine gives fresh cold.,5/3/2022,Karene,Word of mouth,rumors
infection are  contact through toilet use,5/4/2022,Western Rural,Market/Shops/Street Word of mouth,information
covid-19 vaccines reduces sperm production,5/4/2022,Western Rural,Market/Shops/Street Word of mouth,rumors
covid-19 does not exist in sierra leone,5/4/2022,Western Rural,Market/Shops/Street Word of mouth,rumors
covid-19 is not real,5/4/2022,Western Rural,Word of mouth,rumors
covid-19 vaccine kills.,5/5/2022,Karene,Word of mouth,rumors
health care workers refused to take the covid-19 vaccine.,5/5/2022,Karene,Social mobilization Activities,concerns
covid-19 vaccine can stop child bearing,5/5/2022,Western Urban,Market/Shops/Street,misinformation
covid-19 is not in sierra leone,5/5/2022,Western Urban,WhatsApp,misinformation
covid-19 vaccine causes headache ,5/5/2022,Western Urban,Market/Shops/Street,misinformation
covid-19 stop child bearing,5/5/2022,Western Urban,Market/Shops/Street,misinformation
"5 yrs after taking covid 19 vaccine, one will become impotent or paralyzed",5/5/2022,Kambia,Word of mouth,misinformation
polio mark late gives polio,5/8/2022,Karene,Word of mouth,rumors
another disease is coming after covid-19.,5/8/2022,Karene,Word of mouth,rumors
health workers can never be evil to kill people with covid 19 vaccine,5/9/2022,Kambia,Market/Shops/Street Word of mouth,information
covid vaccines give covid.,5/10/2022,Karene,Word of mouth,misinformation
there is an outbreak of measles in lalgoray community,5/11/2022,Kambia,WhatsApp,rumors
there is an outbreak of measles in lalgoray,5/11/2022,Kambia,WhatsApp,rumors
covid19 vaccine leads to abortion,5/14/2022,Kambia,Word of mouth,misinformation
"animals like cows, goats andi sheep dying suddenly with signs andi symptoms",5/16/2022,Port Loko,Market/Shops/Street Word of mouth,concerns
covid-19 is money finding,5/5/2022,Western Rural,Political events Word of mouth,misinformation
suspected anthrax cases,5/18/2022,Western Rural,WhatsApp,information
they want to bring another outbreak.,5/17/2022,Karene,Social mobilization Activities,rumors
they are about bringing another disease,5/17/2022,Karene,Social mobilization Activities,rumors
female teenagers don't concive if given the covid vaccine,5/18/2022,Kambia,Word of mouth Market/Shops/Street,rumors
anthrax is not curable.,5/22/2022,Karene,Word of mouth,rumors
covid-19 vaccine causes headache,5/23/2022,Western Urban,Market/Shops/Street,information
covid-19 vaccine kills,5/23/2022,Western Urban,Word of mouth,rumors
covid-19 vaccine causes headache,5/23/2022,Western Urban,WhatsApp,information
anthrax is fake,5/24/2022,Karene,Word of mouth,rumors
anthrax is unbelievable.,5/24/2022,Karene,Word of mouth,rumors
they introduced anthrax disease to people.,5/26/2022,Karene,WhatsApp Word of mouth,misinformation
anthrax is an introduction another disease to people.,5/26/2022,Karene,Word of mouth,misinformation
"the exact rumors is that those that have taken the vaccine will after two years. others say after three years.  the other rumors is that covid-19 has been subsided, just that it is now dicoverc that wants extension of their contract",7/5/2021,Bonthe,Word of mouth,rumors
the other rumor around now is that covid has subsided just that it's dicoverc  that is demanding extension of their contract so they can get more money,7/24/2021,Bonthe,Word of mouth,rumors
the other rumor around now is that covid has subsided just that it's dicoverc  that is demanding extension of their contract so they can get more money,7/24/2021,Bo,Word of mouth,rumors
anthrax is not real.,6/3/2022,Karene,Word of mouth,rumors
covid-19 vaccination is hindering maternal and child health services,8/16/2022,Western Urban,Social mobilization Activities,concerns
the mobile clinic in kambia is political,9/13/2022,Kambia,Social mobilization Activities Word of mouth,rumors
the mobile clinic should have been purposely for the vulnerable.,9/13/2022,Kambia,Social mobilization Activities Word of mouth,concerns
now i have confidence that the covid 19 vaccination is not a dead trap for the people of sierra leone,9/14/2022,Kambia,Social mobilization Activities Word of mouth,information
age 11 to 15 girls should have been included for the hpv vaccine introduction,10/5/2022,Kambia,Social mobilization Activities Word of mouth,misinformation
i heard that taking the vaccine will kill you,10/4/2022,Karene,Social mobilization Activities,rumors
test - people are too lazy to get the vaccine,10/17/2022,Western Urban,Social mobilization Activities,information
covid-19 vaccines may affect the reproductive health of women,10/17/2022,Port Loko,Social mobilization Activities,rumors
massive passes in wassce and students are empty,10/2/2022,Western Urban,WhatsApp,concerns
massive passes in bece and students don't deserve the results,10/17/2022,Western Urban,WhatsApp,concerns
covid-19 surge is a ways for government to make money,10/17/2022,Port Loko,Public event Market/Shops/Street,concerns
rabies can be treated with traditional medicine,9/5/2022,Port Loko,Social mobilization Activities,misinformation
people questioning the existence of the disease.,10/17/2022,Western Urban,Word of mouth WhatsApp,concerns
"rabies vaccines for pets are important and they should always be available but rabies vaccines for humans should be made more available, accessible and affordable.",10/13/2022,Port Loko,Social mobilization Activities,concerns
covid-19 does not exists. just the politicians seeking to get money from foreign governments,10/14/2022,Western Urban,Market/Shops/Street Word of mouth WhatsApp,misinformation
test - covid vaccine is not needed anymore,10/17/2022,Western Urban,Social mobilization Activities,misinformation
test - hov vaccine is covid vaccine in disguised,10/17/2022,Port Loko,Market/Shops/Street,rumors
the message is that the cervical vaccination(hpv) which was going on in school going children (girls) at the age of 10  people were saying is to reduce fertility rate in women.,10/17/2022,Port Loko,Social mobilization Activities Radio WhatsApp Flyers and printed materials,rumors
the hpv vaccine makes  men impotent,10/17/2022,Western Urban,Market/Shops/Street,rumors
if someone goes for medical treatment he/she will be arrested by the authorities as possible suspect in relation to the pmb incident,11/25/2021,Western Rural,Word of mouth WhatsApp Blog,rumors
"murmuring around kissy, that victims of the wellington fire explosion will be arrested if the go to the assigned medical facilities",11/5/2021,Western Urban,Social mobilization Activities Word of mouth,rumors
victims of the pmb incident are been home treated rather than hospitalized,11/25/2021,Western Rural,Word of mouth,rumors
the ebola vaccine cause infertility,10/25/2022,No specific district,Public event Word of mouth,Rumors
the ebola vaccine cause infertility,10/25/2022,Western Urban,Public event Word of mouth,Rumors
conoravirus is not in sierra leone,10/31/2022,Western Urban,Social mobilization Activities,Misinformation
there is no ebola outbreak in kono,10/31/2022,Western Rural,Word of mouth,Misinformation
ebola out break in kono,10/31/2022,Western Rural,Social mobilization Activities Word of mouth WhatsApp,Information
ebola outbreak in kono,10/31/2022,Western Rural,WhatsApp,Information
anotther outbreak of ebola in kailahun,10/28/2022,Kailahun,Word of mouth,Rumors
road accident at makeni high way,10/30/2022,Bombali,Word of mouth,Information
there is an outbreak of ebola in kono,10/10/2022,Western Rural,Social mobilization Activities Word of mouth,Rumors
